始発駅,終着駅,最長経路距離
93,1,1962.5
93,2,1929.1
93,3,1951.7
93,4,1955.1
93,5,1973.9
93,6,1909.0
93,7,1961.4
93,8,1953.9
93,9,1990.2
93,10,1987.6
93,11,1624.2
93,12,1679.5
93,13,1610.4
93,14,1617.7
93,15,1647.4
93,16,1724.8
93,17,1671.0
93,18,1711.5
93,19,1642.1
93,20,1692.4
93,21,1513.8
93,22,1514.2
93,23,1521.7
93,24,1516.2
93,25,1515.6
93,26,1521.0
93,27,1516.9
93,28,1518.6
93,29,1515.4
93,30,1517.4
93,31,1516.7
93,32,1518.8
93,33,1528.5
93,34,1526.6
93,35,1507.4
93,36,1496.3
93,37,1506.2
93,38,1503.2
93,39,1507.5
93,40,1502.4
93,41,1522.3
93,42,1524.3
93,43,1522.6
93,44,1526.3
93,45,1523.3
93,46,1522.2
93,47,1520.6
93,48,1521.9
93,49,1525.0
93,50,1523.2
93,51,1497.4
93,52,1531.2
93,55,1531.2
93,56,1495.2
93,57,1623.0
93,58,1596.1
93,59,1613.0
93,60,1511.2
93,61,1505.1
93,62,1515.8
93,63,1526.6
93,64,1509.2
93,65,1539.7
93,66,1475.3
93,67,1509.3
93,68,1506.1
93,69,1548.2
93,70,1526.6
93,71,1510.5
93,72,1510.5
93,73,1517.3
93,76,1506.9
93,77,1507.4
93,78,1574.5
93,79,1594.5
93,80,1506.1
93,81,1488.7
93,82,1588.9
93,83,1582.4
93,84,1591.1
93,85,1304.1
93,86,1366.8
93,87,1409.5
93,88,1446.1
93,89,1465.4
93,90,1462.3
93,91,44.0
93,92,103.9
93,94,5.0
93,95,739.9
93,96,751.8
93,97,694.4
93,98,731.1
93,99,782.6
93,100,777.1
93,101,865.6
93,102,853.3
93,103,922.8
93,104,785.0
93,105,812.3
93,106,808.7
93,107,812.8
93,108,809.4
93,109,810.7
93,110,814.0
93,111,798.9
93,112,800.6
93,113,779.1
93,114,790.2
93,115,752.7
93,116,756.0
93,117,953.4
93,118,808.4
93,119,793.4
93,120,804.9
93,121,781.9
93,122,780.9
93,123,816.5
93,124,816.5
93,125,892.8
93,126,819.8
93,127,865.6
93,128,868.3
93,129,828.3
93,130,844.0
93,131,873.6
93,134,932.6
93,135,947.5
93,136,965.4
93,137,948.5
93,138,1158.1
93,139,990.9
93,140,1014.5
93,143,1118.9
93,144,1134.5
93,145,1318.0
93,146,1297.0
93,147,1292.5
93,148,1294.8
93,149,1293.4
93,150,1289.9
93,151,1330.0
93,152,978.5
93,153,1004.4
93,154,985.3
93,155,996.6
93,156,1158.6
93,157,1218.1
93,158,814.9
93,159,816.1
93,168,1529.4
93,169,1547.1
93,170,1534.4
93,171,1553.5
93,172,982.7
93,173,925.3
93,174,1174.5
93,175,1109.5
