駅番号,駅名,東経,北緯
9,直江津,138.242039,37.1702506
8,柏崎,138.5562887,37.3637096
5,吉田,138.8786033,37.6871131
3,新潟,139.0617442,37.91209
2,新発田,139.3350935,37.9440569
4,新津,139.1212473,37.8004686
7,東三条,138.9736524,37.6285143
10,宮内,138.8402313,37.4220999
11,渋川,139.0088,36.4913158
13,新前橋,139.0469116,36.379033
19,小山,139.8064972,36.3128947
20,大宮,139.6231198,35.9063453
36,拝島,139.343634,35.7210899
38,立川,139.4137788,35.6982051
40,府中本町,139.4772291,35.6661875
39,西国分寺,139.4657707,35.6997996
26,新宿,139.700537,35.6894597
24,池袋,139.7109997,35.729487
25,田端,139.7607333,35.7383571
23,赤羽,139.7209883,35.7776795
21,武蔵浦和,139.6468681,35.845352
22,南浦和,139.6687818,35.8481784
62,新松戸,139.9211025,35.8255382
27,日暮里,139.770638,35.7281575
30,秋葉原,139.7733021,35.698362
73,錦糸町,139.81384,35.6971445
72,西船橋,139.9590826,35.7074664
71,千葉,140.1134652,35.6129299
70,佐倉,140.2259731,35.7095572
65,成田,140.3135312,35.7773313
64,香取,140.5322812,35.8979327
68,松岸,140.7952883,35.7395434
69,成東,140.4108524,35.6083855
170,大網,140.3110421,35.522508
171,蘇我,140.1310471,35.5815282
76,南船橋,139.9958289,35.6817774
77,市川塩浜,139.9236774,35.6664838
32,東京,139.767251,35.6811957
31,神田,139.770935,35.6918216
29,御茶ノ水,139.7652079,35.6994603
28,代々木,139.7021759,35.6841068
33,品川,139.7387767,35.6284888
43,川崎,139.6968913,35.5313531
42,尻手,139.6842527,35.5315627
41,武蔵小杉,139.6594584,35.5766373
44,鶴見,139.6763195,35.5082528
52,東神奈川,139.6333869,35.4779787
168,横浜,139.6223299,35.4657885
169,大船,139.5315814,35.3544937
56,茅ヶ崎,139.406848,35.3303085
51,橋本,139.3450528,35.5949215
37,八王子,139.3388915,35.6556399
80,甲府,138.5690546,35.6670765
79,富士,138.6511946,35.151486
81,豊橋,137.381926,34.7629304
82,辰野,137.9978725,35.9845957
83,岡谷,138.0453799,36.0570347
84,塩尻,137.9481023,36.1143387
90,金山,136.9012195,35.1429282
91,名古屋,136.8816447,35.1709142
93,大垣,136.6175494,35.3669998
95,米原,136.2905717,35.3145999
97,草津,135.9622036,35.0228832
99,山科,135.8173204,34.992343
96,近江塩津,136.1514616,35.5383377
101,綾部,135.2518621,35.3021433
100,京都,135.7589033,34.9858294
104,木津,135.8248179,34.7359383
124,放出,135.5630922,34.6880334
118,久宝寺,135.5842199,34.6224548
119,王寺,135.7025349,34.5977198
121,奈良,135.8189335,34.6809044
120,高田,135.7447341,34.5163234
115,和歌山,135.1911771,34.2319356
113,日根野,135.3306787,34.3901649
111,鳳,135.4588616,34.5319888
110,天王寺,135.5138727,34.6473099
108,今宮,135.4927889,34.6541072
106,西九条,135.4661438,34.68215
105,大阪,135.4959506,34.7024849
159,新大阪,135.5002139,34.7331669
158,鴫野,135.545139,34.6927724
123,京橋,135.5341349,34.6965674
125,尼崎,135.4316693,34.7318259
126,谷川,135.0501144,35.0823226
129,加古川,134.8393645,34.7676372
130,姫路,134.6898735,34.8266323
172,相生,134.4741181,34.8179561
173,東岡山,133.9881796,34.6856481
134,岡山,133.9186461,34.6664023
137,倉敷,133.7657547,34.6020202
139,福山,133.3614224,34.4892415
174,三原,133.0831419,34.4005593
175,海田市,132.530533,34.3720353
143,横川,132.4505616,34.4099757
157,下松,131.8680532,34.0087337
