路線番号,路線名,始発駅,終点駅,営業キロ
1000,羽越線,1,2,33.4
1,白新線,2,3,27.3
2,羽越線,2,4,26
3,信越線,3,4,15.2
4,越後線,3,5,34
5,信越線,4,7,24.9
6,弥彦線,5,6,4.9
7,弥彦線,5,7,12.5
8,越後線,5,8,49.8
9,信越線,7,10,26.2
10,信越線,8,9,36.3
11,信越線,8,10,33.7
12,上越線,10,11,141.5
13,吾妻線,11,12,55.3
14,上越線,11,13,13.8
15,上越線,13,14,7.3
16,両毛線,13,19,84.4
17,信越線,14,15,29.7
18,高崎線,14,20,74.7
19,東北線,16,17,53.8
20,日光線,17,18,40.5
21,東北線,17,19,28.9
22,東北線,19,20,50.3
23,埼京線,20,21,7.4
24,東北線,20,22,7.8
25,川越線,20,36,51.8
26,武蔵野線,21,22,1.9
27,埼京線,21,23,10.6
28,武蔵野線,21,39,25.9
29,東北線,22,23,9.3
30,武蔵野線,22,62,25.8
31,赤羽線,23,24,5.5
32,東北線,23,25,6.1
33,東北線(尾久経由),23,27,7.4
34,山手線,24,25,5.2
35,山手線,24,26,4.8
36,東北線(尾久経由),25,27,1.3
37,山手線,26,28,0.7
38,中央東線,26,39,22.5
39,東北線,27,30,3.8
40,常磐線,27,62,20.7
41,中央東線,28,29,7
42,山手線,28,33,9.9
43,総武線,29,30,0.9
44,中央東線,29,31,1.3
45,東北線,30,31,0.7
46,総武線,30,73,3.4
47,東北線,31,32,1.3
48,東海道線,32,33,6.8
49,総武線,32,73,4.8
50,京葉線,32,77,18.2
51,東海道線(西大井経由),33,41,10
52,東海道線,33,43,11.4
53,青梅線,34,36,30.3
54,五日市線,35,36,11.1
55,八高線,36,37,9.9
56,青梅線,36,38,6.9
57,中央東線,37,38,9.9
58,横浜線,37,51,8.8
59,中央東線,37,80,86.7
60,中央東線,38,39,4.7
61,南武線,38,40,7.6
62,武蔵野線,39,40,3.9
63,南武線,40,41,20.4
64,南武線,41,42,5.8
65,東海道線(新川崎経由),41,44,7.8
66,南武線,42,43,1.7
67,南武線,42,47,4.1
68,東海道線,43,44,3.5
69,鶴見線,44,45,3
70,東海道線,44,52,5.3
71,鶴見線,45,46,1.1
72,鶴見線,45,49,1.7
73,鶴見線,46,47,1.6
74,鶴見線,46,50,1
75,鶴見線,47,48,1.3
76,横浜線,51,52,33.8
77,相模線,51,56,33.3
78,東海道線,52,168,1.8
79,東海道線,53,54,17.7
80,根岸線,160,161,22.1
81,横須賀線,169,55,23.9
82,東海道線,169,56,12.1
83,東海道線,56,57,19.1
84,東海道線,57,58,26.9
85,御殿場線,57,78,60.2
86,伊東線,58,59,16.9
87,東海道線,58,78,21.6
